Sr No,Category,Questions,Option A,Option B,Option C,Option D,Correct Answer
"1,Basic Product Knowledge : Languages,How old is the Navbharat Times brand (as of 2024)?,65 years,75 years,60 years,55 years,B",Basic Product Knowledge : Languages,How old is the Navbharat Times brand (as of 2024)?,65 years,75 years,60 years,55 years,B
"2,IRS Based Questions,Which print combination delivers the most compelling audience reach in Delhi and Mumbai as per IRS 2019 Q4?,Hindustan + Mumbai Mirror,Navbharat Times + The Times of India,Dainik Bhaskar + Economic Times,Maharashtra Times + Mirror Now,B",IRS Based Questions,Which print combination delivers the most compelling audience reach in Delhi and Mumbai as per IRS 2019 Q4?,Hindustan + Mumbai Mirror,Navbharat Times + The Times of India,Dainik Bhaskar + Economic Times,Maharashtra Times + Mirror Now,B
"3,About Content / Initiatives : Languages,On which day is AI content published in NBT?,Monday,Tuesday,Friday,Sunday,C",About Content / Initiatives : Languages,On which day is AI content published in NBT?,Monday,Tuesday,Friday,Sunday,C
"4,About Content / Initiatives : Languages,What is the name of the column in Navbharat Times that covers AI-related content for Hindi readers?,Tech Insight Hindi,Digital Manthan,AI Times Machine,Cyber Duniya,C",About Content / Initiatives : Languages,What is the name of the column in Navbharat Times that covers AI-related content for Hindi readers?,Tech Insight Hindi,Digital Manthan,AI Times Machine,Cyber Duniya,C
"5,About Content / Initiatives : Languages,What is the business section of NBT called?,Arthvyavastha,Bazaar Bhav,NBT Vyapar,Rozgar Vyapar,C",About Content / Initiatives : Languages,What is the business section of NBT called?,Arthvyavastha,Bazaar Bhav,NBT Vyapar,Rozgar Vyapar,C
"6,About Content / Initiatives : Languages,What does the 'NBT Anuthi' section in Navbharat Times primarily cover?,Sports highlights and athlete profiles,Bollywood box office reviews,Stories of extraordinary women achievers,International political updates,C",About Content / Initiatives : Languages,What does the 'NBT Anuthi' section in Navbharat Times primarily cover?,Sports highlights and athlete profiles,Bollywood box office reviews,Stories of extraordinary women achievers,International political updates,C
"7,About Content / Initiatives : Languages,NBT Utsav is an initiative that celebrates:,Cultural festivals and lifestyle stories,Business events,Editorial wins,Civic issues,A",About Content / Initiatives : Languages,NBT Utsav is an initiative that celebrates:,Cultural festivals and lifestyle stories,Business events,Editorial wins,Civic issues,A
"8,Basic Product Knowledge : Languages,In which of the following city combinations is Navbharat Times (NBT) currently published?,Mumbai, Delhi NCR, Hyderabad,Delhi NCR, Pune, Lucknow,Delhi NCR, Mumbai, Lucknow,Bhopal, Jaipur, Delhi NCR,C",Basic Product Knowledge : Languages,In which of the following city combinations is Navbharat Times (NBT) currently published?,"Mumbai, Delhi NCR, Hyderabad","Delhi NCR, Pune, Lucknow","Delhi NCR, Mumbai, Lucknow","Bhopal, Jaipur, Delhi NCR",C
"9,About Content / Initiatives : Languages,NBT Good News is a section focused only on celebrity updates.,TRUE,FALSE,,,B",About Content / Initiatives : Languages,NBT Good News is a section focused only on celebrity updates.,TRUE,FALSE,,,B
"10,About Content / Initiatives : Languages,NBT IRA promotes children's literacy through storytelling.,TRUE,FALSE,,,A",About Content / Initiatives : Languages,NBT IRA promotes children's literacy through storytelling.,TRUE,FALSE,,,A
